name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Li+,Li+,Li+,aq,SH88 [S92],NA,06.Nov.97,cal,-69933,-66552,2.7,14.2,-0.87,-0.0237,-0.069,11.58,-2.7761,19.2,-0.24,0.4862,1
Na+,Na+,Na+,aq,SH88 [S92],NA,06.Nov.97,cal,-62591,-57433,13.96,9.06,-1.11,1.839,-2.285,3.256,-2.726,18.18,-2.981,0.3306,1
K+,K+,K+,aq,SH88 [S92],NA,06.Nov.97,cal,-67510,-60270,24.15,1.98,9.06,3.559,-1.473,5.435,-2.712,7.4,-1.791,0.1927,1
Rb+,Rb+,Rb+,aq,SH88 [S92],NA,06.Nov.97,cal,-67800,-60020,28.8,-3,14.26,4.2913,-0.9041,7.407,-2.7416,5.7923,-3.6457,0.1502,1
Cs+,Cs+,Cs+,aq,SH88 [S92],NA,06.Nov.97,cal,-69710,-61670,31.75,-6.29,21.42,6.1475,-0.1309,4.2094,-2.7736,6.27,-5.736,0.0974,1
Mg+2,Mg+2,Mg+2,aq,SH88 [S92],NA,06.Nov.97,cal,-108505,-111367,-33,-5.34,-21.55,-0.8217,-8.599,8.39,-2.39,20.8,-5.892,1.5372,2
Ca+2,Ca+2,Ca+2,aq,SH88 [S92],NA,06.Nov.97,cal,-132120,-129800,-13.5,-7.53,-18.06,-0.1947,-7.252,5.2966,-2.4792,9,-2.522,1.2366,2
Sr+2,Sr+2,Sr+2,aq,SH88 [S92],NA,06.Nov.97,cal,-134760,-131670,-7.53,-10.05,-17.41,0.7071,-10.1508,7.0027,-2.3594,10.7452,-5.0818,1.1363,2
Ba+2,Ba+2,Ba+2,aq,SH88 [S92],NA,06.Nov.97,cal,-134030,-128500,2.3,-12.3,-12.6,2.7383,-10.0565,-0.047,-2.3633,3.8,-3.45,0.985,2
HCO3-,HCO3-,HCO3-,aq,SH88 [S92],NA,06.Nov.97,cal,-140282,-164898,23.53,-8.46,24.6,7.5621,1.1505,1.2346,-2.8266,12.9395,-4.7579,1.2733,-1
CO3-2,CO3-2,CO3-2,aq,SH88 [S92],NA,06.Nov.97,cal,-126191,-161385,-11.95,-69.5,-5.02,2.8524,-3.9844,6.4142,-2.6143,-3.3206,-17.1917,3.3914,-2
Pb+2,Pb+2,Pb+2,aq,SH88 [S92],NA,06.Nov.97,cal,-5710,220,4.2,-12.7,-15.6,-0.0051,-7.7939,8.8134,-2.4568,8.6624,-5.6216,1.0788,2
NO3-,NO3-,NO3-,aq,SH88 [S92],NA,06.Nov.97,cal,-26507,-49429,35.12,-16.4,29,7.3161,6.7824,-4.6838,-3.0594,7.7,-6.725,1.0977,-1
NO2-,NO2-,NO2-,aq,SH88 [S92],NA,06.Nov.97,cal,-7700,-25000,29.4,-23.3,25,5.5864,5.859,3.4472,-3.0212,3.426,-7.7808,1.1847,-1
NH4+,NH4+,NH4+,aq,SH88 [S92],NA,06.Nov.97,cal,-18990,-31850,26.57,15.74,18.13,3.8763,2.3448,8.5605,-2.8759,17.45,-0.021,0.1502,1
H2PO4-,H2PO4-,H2PO4-,aq,SH88 [S92],NA,06.Nov.97,cal,-270140,-309820,21.6,-7,31.3,6.4875,8.0594,2.5823,-3.1122,14.0435,-4.4605,1.3003,-1
HPO4-2,HPO4-2,HPO4-2,aq,SH88 [S92],NA,06.Nov.97,cal,-260310,-308815,-8,-58.3,5.4,3.6315,1.0857,5.3233,-2.8239,2.7357,-14.9103,3.3363,-2
HS-,HS-,HS-,aq,SH88 [S92],NA,07.Nov.97,cal,2860,-3850,16.3,-22.17,20.65,5.0119,4.9799,3.4765,-2.9849,3.42,-6.27,1.441,-1
HSO3-,HSO3-,HSO3-,aq,SH88 [S92],NA,07.Nov.97,cal,-126130,-149670,33.4,-1.4,33.3,6.7014,8.5816,2.3771,-3.1338,15.6949,-3.3198,1.1233,-1
SO4-2,SO4-2,SO4-2,aq,SH88 [S92],NA,07.Nov.97,cal,-177930,-217400,4.5,-64.38,13.88,8.3014,-1.9846,-6.2122,-2.697,1.64,-17.998,3.1463,-2
HSO4-,HSO4-,HSO4-,aq,SH88 [S92],NA,07.Nov.97,cal,-180630,-212500,30,5.3,35.2,6.9788,9.259,2.1108,-3.1618,20.0961,-1.955,1.1748,-1
S2O3-2,S2O3-2,S2O3-2,aq,SH88 [S92],NA,07.Nov.97,cal,-124900,-155000,16,-57.3,28.5,6.6685,12.4951,-7.7281,-3.2955,-0.0577,-14.7066,2.9694,-2
S2O8-2,S2O8-2,S2O8-2,aq,SH88 [S92],NA,07.Nov.97,cal,-266500,-321400,58.4,-25,79,13.3622,24.8454,-4.0153,-3.8061,12.9632,-8.1271,2.3281,-2
F-,F-,F-,aq,SH88 [S92],NA,07.Nov.97,cal,-67340,-80150,-3.15,-27.23,-1.32,0.687,1.3588,7.6033,-2.8352,4.46,-7.488,1.787,-1
ClO3-,ClO3-,ClO3-,aq,SH88 [S92],NA,07.Nov.97,cal,-1900,-24850,38.8,-12.3,36.9,7.1665,9.7172,1.9307,-3.1807,8.5561,-5.5401,1.0418,-1
Br-,Br-,Br-,aq,SH88 [S92],NA,07.Nov.97,cal,-24870,-29040,19.8,-30.42,24.85,5.269,6.594,4.745,-3.143,-3.8,-6.811,1.3858,-1
BrO3-,BrO3-,BrO3-,aq,SH88 [S92],NA,07.Nov.97,cal,4450,-16030,38.65,-20.6,35.4,6.9617,9.2173,2.1272,-3.16,3.7059,-7.2308,1.0433,-1
I-,I-,I-,aq,SH88 [S92],NA,07.Nov.97,cal,-12410,-13600,25.5,-28.25,36.31,7.7623,8.2762,1.4609,-3.1211,-6.27,-4.944,1.2934,-1
